repo,language,topics,default_branch,deploy_count,pr_count,deployments_per_week_median,deployments_per_week_p85,deployments_per_week_p95,pr_cycle_time_hours_median,pr_cycle_time_hours_p85,pr_cycle_time_hours_p95,sample_window_start,sample_window_end
"amplication/amplication","TypeScript","api|code-generation|csharp|csharp-code|dotnet|dotnet-core|graphql|hacktoberfest|javascript|low-code|nestjs|nodejs|prisma|typescript|web","master","1432","39","34.000","88.500","103.500","0.277","3.633","83.574","2024-10-08T08:31:56Z","2025-10-07T18:18:35Z"
"App-vNext/Polly","C#","circuit-breaker|circuit-breaker-pattern|dotnet|fault-handler|resilience|resiliency-patterns|retry-strategies|transient-fault-handling","main","10","141","1.500","4.200","5.400","0.536","17.766","190.279","2024-03-01T14:21:05Z","2025-09-26T14:58:31Z"
"ardalis/CleanArchitecture","C#","architecture|clean-architecture|csharp|ddd|domain-driven-design|dotnet|hacktoberfest","main","4","22","1.000","1.000","1.000","41.834","1232.550","3754.118","2024-10-11T17:39:53Z","2025-10-05T22:07:28Z"
"AssemblyScript/assemblyscript","WebAssembly","assemblyscript|compiler|typescript|wasm|webassembly","main","16","29","1.000","2.000","2.450","22.058","203.665","547.223","2024-10-27T03:36:34Z","2025-09-27T11:03:47Z"
"BeyondDimension/SteamTools","C#","android-app|avalonia|avaloniaui|cross-platform|crossplatform|csharp|dotnet|dotnetcore|ios-app|linux-app|macos-app|mvvm|steam|steamtools|windows-app|wpf|xaml","develop","0","6","","","","323.749","857.110","1081.971","2024-09-25T08:07:31Z","2025-01-09T02:32:21Z"
"BishopFox/sliver","Go","adversarial-attacks|adversary-simulation|c2|command-and-control|dns|dns-server|golang|gplv3|http|implant|red-team|red-team-engagement|red-teaming|security-tools|sliver","master","53","37","1.500","3.000","3.850","71.395","312.559","1302.827","2024-10-04T22:18:05Z","2025-10-06T01:08:07Z"
"bitwarden/server","C#","api|aspnet|aspnetcore|bitwarden|csharp|docker|dotnet|dotnet-core|signalr|sql|sql-server","main","38","1035","1.000","2.000","2.000","69.908","482.424","1014.815","2024-06-12T09:57:53Z","2025-10-07T21:08:02Z"
"bytecodealliance/wasmtime","Rust","aot|cranelift|jit|lightweight|portable|runtime|rust|sandbox|standalone|wasi|wasm|wasmtime|webassembly","main","1561","1627","29.000","41.000","49.200","4.711","68.359","175.531","2024-04-17T22:11:52Z","2025-10-07T18:31:46Z"
"dotnet/aspnetcore","C#","aspnetcore|dotnet|hacktoberfest|help-wanted","main","23","1217","1.000","2.000","2.250","20.902","190.229","720.398","2023-12-01T04:38:13Z","2025-10-07T18:48:11Z"
"emscripten-core/emscripten","C++","emscripten|hacktoberfest|wasm|webassembly","main","6","1739","3.000","3.700","3.900","5.974","91.010","310.689","2020-10-12T22:30:58Z","2025-10-07T21:03:27Z"
"FluxML/Zygote.jl","Julia","automatic-differentiation|control-flow|gradient|julia|julia-compiler|machine-learning","master","85","22","3.000","7.800","13.200","56.807","1293.304","11534.070","2021-05-07T11:07:00Z","2025-06-30T20:42:44Z"
"fonsp/Pluto.jl","Julia","designed-for-teachers|education|exploration|interactive|julia|notebook|pluto-notebooks|reactive|visualization","main","20","137","1.000","1.900","3.000","3.317","164.282","869.576","2024-03-29T09:55:34Z","2025-09-29T07:22:45Z"
"GenieFramework/Genie.jl","Julia","framework|full-stack|julia|low-code|mvc|orm|reactive|vuejs|web|webframework","main","20","5","2.000","2.000","2.450","10.126","181.453","299.951","2024-10-23T17:08:49Z","2025-09-30T07:13:55Z"
"GiovineItalia/Gadfly.jl","Julia","gadfly|ggplot2|graphics|hacktoberfest|julia|plotting","master","4","4","2.000","2.000","2.000","3.519","7909.792","12220.512","2023-07-20T19:15:32Z","2025-06-09T20:17:50Z"
"grame-cncm/faust","C++","audio|c|c-plus-plus|cmajor|compiler|cpp|csharp|dlang|dsp|faust|functional-programming|jax|jsfx|julia|julia-language|llvm|rnbo|rust|wasm","master-dev","18","33","4.500","6.000","6.000","7.869","360.555","822.076","2024-10-02T06:41:26Z","2025-10-01T20:22:48Z"
"icsharpcode/ILSpy","C#","c-sharp|decompile|decompiler|decompiler-engine|dotnet|dotnetcore|ilspy|mono|pdb|unity","master","0","84","","","","80.785","437.438","871.177","2024-10-10T13:42:50Z","2025-10-05T08:06:35Z"
"Idov31/Nidhogg","C++","cpp|cyber-security|cybersecurity|driver|infosec|kernel|red-team|redteam|rootkit|windows|windows-rootkits","master","0","2","","","","0.004","0.005","0.005","2025-03-18T20:25:16Z","2025-07-25T21:23:36Z"
"JuliaAI/MLJ.jl","Julia","classification|clustering|data-science|ensemble-learning|julia|machine-learning|pipeline|pipelines|predictive-modeling|regression|stacking|statistics|tuning|tuning-parameters","dev","9","15","1.500","2.000","2.000","5.159","172.810","1995.236","2024-05-12T22:30:38Z","2025-09-26T01:20:57Z"
"JuliaData/DataFrames.jl","Julia","data|data-frame|dataframes|datasets|hacktoberfest|julia|tabular-data","main","16","16","1.000","3.000","3.000","38.191","1181.903","10537.800","2023-07-18T19:51:10Z","2025-09-11T07:13:18Z"
"JuliaLang/julia","Julia","hacktoberfest|hpc|julia|julia-language|julialang|machine-learning|numerical|programming-language|science|scientific","master","13","1779","1.000","2.000","2.000","43.102","491.389","2791.816","2017-05-13T21:25:39Z","2025-10-07T16:37:22Z"
"JuliaLang/PackageCompiler.jl","Julia","julia|packagecompiler","master","54","38","3.500","7.050","11.250","7.091","113.941","2382.274","2023-05-10T16:03:22Z","2025-10-06T16:08:48Z"
"JuliaPlots/Plots.jl","Julia","hacktoberfest|julia|julia-language|plotting|visualization","v2","15","65","1.000","1.200","2.000","1.960","52.614","631.270","2024-07-18T06:50:04Z","2025-10-07T09:23:15Z"
